6,42
3,27
12,15
27,33
3,2
7,28
16,24
28,73
4,4
20,120
47,87
8,4
38,20
54,27
60,82
21,16
26,91
108,81
18,128
241,495
44,93
267,75
143,13
137,19
30,11
105,216
40,70
67,194
67,210
98,29
149,121
26,122
179,108
61,146
397,47
111,36
45,310
324,53
22,60
216,25
2,1
284,9
18,7
27,38
41,46
15,2
82,4
9,35
9,22
15,14
56,27
2,4
14,47
2,1
9,7
1,14
2,14
98,265
34,45
38,39
81,28
29,9
6,10
7,44
2,7
2,6
286,81
2,20
3,1
12,11
5,8
83,278
22,59
4,2
7,75
13,14
16,9
4,48
18,7
38,4
50,51
7,23
5,10
3,1
8,5
69,22
17,12
9,1
2,8
3,6
5,79
54,40
2,2
17,5
107,84
2,8
14,9
2,3
1,2
46,15
10,36
3,7
4,6
4,2
2,51
10,2
6,2
2,99
180,45
9,2
13,11
1,11
8,2
49,271
9,4
4,24
5,12
6,6
3,26
7,23
7,7
10,4
21,189
4,9
10,6
9,4
24,18
178,265
3,1
5,9
7,8
6,6
15,125
8,3
1,24
4,19
119,103
7,3
2,10
9,2
1,4
92,281
3,3
7,14
6,2
3,17
9,3
7,8
3,1
7,5
288,238
3,1
2,1
2,2
1,4
239,50
3,2
1,12
3,42
26,1
